Genotype;Milieu;Plate;Id;PR length;Tortuosity;RootArea;LR length;Grouping;Plants/group;distanceFromHypocotyl std (cm);ShootArea;Chlorophyll (a.u)
Col_0;Milieu_2;Plate_1;B1_18;5.105;1.126;0.274;9.67;1;3;1.736;0.137;3.236
Col_0;Milieu_2;Plate_2;B2_1;5.654;1.091;0.293;10.14;1;7;2.389;0.117;2.388
Col_0;Milieu_2;Plate_2;B2_2;7.032;1.127;0.293;10.14;1;7;2.389;0.133;2.629
Col_0;Milieu_2;Plate_2;B2_3;8.044;1.182;0.293;10.14;1;7;2.389;0.051;1.176
Col_0;Milieu_2;Plate_2;B2_4;5.181;1.117;0.172;3.00;2;1;1.195;0.121;1.891
Col_0;Milieu_2;Plate_2;B2_5;7.885;1.131;0.408;13.63;3;8;2.810;0.168;3.612
Col_0;Milieu_2;Plate_2;B2_6;8.202;1.139;0.408;13.63;3;8;2.810;0.109;2.057
Col_0;Milieu_2;Plate_2;B2_7;8.104;1.132;0.408;13.63;3;8;2.810;0.073;1.482
Col_0;Milieu_2;Plate_2;B2_8;8.136;1.135;0.408;13.63;3;8;2.810;0.172;3.601
Col_0;Milieu_2;Plate_2;B2_9;7.013;1.109;0.408;13.63;3;8;2.810;0.056;1.162
Col_0;Milieu_2;Plate_2;B2_10;7.844;1.118;0.308;8.00;5;1;2.108;0.138;2.496
Col_0;Milieu_2;Plate_2;B2_11;8.617;1.103;0.408;13.63;3;8;2.810;0.071;1.203
Col_0;Milieu_2;Plate_2;B2_12;6.072;1.176;0.408;13.63;3;8;2.810;0.103;2.281
Col_0;Milieu_2;Plate_2;B2_13;11.356;1.118;0.408;13.63;3;8;2.810;0.100;1.990
Col_0;Milieu_2;Plate_2;B2_14;3.524;1.110;0.093;3.00;4;1;0.440;0.123;2.674
Col_0;Milieu_2;Plate_2;B2_15;9.238;1.134;0.293;10.14;1;7;2.389;0.076;1.423
Col_0;Milieu_2;Plate_2;B2_16;10.172;1.149;0.293;10.14;1;7;2.389;0.156;3.118
Col_0;Milieu_2;Plate_2;B2_17;6.167;1.166;0.293;10.14;1;7;2.389;0.120;2.447
Col_0;Milieu_2;Plate_2;B2_18;3.573;1.134;0.293;10.14;1;7;2.389;0.050;0.975
Col_0;Milieu_3;Plate_1;C1_1;3.936;1.111;0.141;8;1;1;1.106;0.096;2.782
Col_0;Milieu_3;Plate_1;C1_2;1.6;1.069;0.036;0;3;1;0.000;0.019;0.343
Col_0;Milieu_3;Plate_1;C1_3;2.635;1.079;0.066;1;5;1;0.000;0.012;0.286
Col_0;Milieu_3;Plate_1;C1_4;9.203;1.080;0.278;9;2;1;1.342;0.127;3.168
Col_0;Milieu_3;Plate_1;C1_5;6.255;1.081;0.184;6;4;1;1.804;0.016;0.329
Col_0;Milieu_3;Plate_1;C1_6;10.311;1.091;0.407;15;6;1;1.923;0.185;4.196
Col_0;Milieu_3;Plate_1;C1_7;5.55;1.096;0.174;8;7;3;2.096;0.132;3.254
Col_0;Milieu_3;Plate_1;C1_8;4.089;1.123;0.174;8;7;3;2.096;0.039;0.798
Col_0;Milieu_3;Plate_1;C1_9;9.681;1.083;0.174;8;7;3;2.096;0.169;3.633
Col_0;Milieu_3;Plate_1;C1_10;0.607;1.049;0.019;1;8;1;0.000;0.087;1.905
Col_0;Milieu_3;Plate_1;C1_11;0.2;1.214;0.007;0;10;1;0.000;0.014;0.264
Col_0;Milieu_3;Plate_1;C1_12;2.159;1.213;0.080;2;11;1;0.539;0.039;0.840
Col_0;Milieu_3;Plate_1;C1_13;10.313;1.085;0.168;5.5;9;2;2.573;0.066;1.578
Col_0;Milieu_3;Plate_1;C1_14;0.835;1.042;0.168;5.5;9;2;2.573;0.014;0.200
Col_0;Milieu_3;Plate_1;C1_15;6.527;1.121;0.200;9;12;1;2.087;0.137;3.299
Col_0;Milieu_3;Plate_1;C1_16;0.151;1.262;0.007;1;15;1;0.000;0.111;2.828
Col_0;Milieu_3;Plate_1;C1_17;3.64;1.089;0.157;5;14;1;0.000;0.073;2.108
Col_0;Milieu_3;Plate_1;C1_18;0.913;1.073;0.018;0;16;1;0.000;0.015;0.346
Col_0;Milieu_3;Plate_1;C1_19;0.185;1.065;0.008;0;13;1;0.000;0.011;0.164
Col_0;Milieu_3;Plate_2;C2_1;3.273;1.090;0.113;5;1;1;0.618;0.089;1.856
Col_0;Milieu_3;Plate_2;C2_2;5.654;1.084;0.192;6;3;2;1.881;0.112;2.331
Col_0;Milieu_3;Plate_2;C2_3;5.167;1.057;0.144;5;2;1;1.973;0.109;2.402
Col_0;Milieu_3;Plate_2;C2_4;5.981;1.081;0.192;6;3;2;1.881;0.110;2.431
Col_0;Milieu_3;Plate_2;C2_5;0.208;1.065;0.092;3;5;2;0.912;0.012;0.171
Col_0;Milieu_3;Plate_2;C2_6;0.105;1.054;0.009;1;6;1;0.000;0.117;2.447
Col_0;Milieu_3;Plate_2;C2_7;4.429;1.116;0.092;3;5;2;0.912;0.011;0.138
Col_0;Milieu_3;Plate_2;C2_8;7.081;1.093;0.231;13;4;1;2.151;0.141;2.691
Col_0;Milieu_3;Plate_2;C2_9;0.252;1.338;0.007;0;9;1;0.000;0.082;1.517
Col_0;Milieu_3;Plate_2;C2_10;6.821;1.067;0.192;5;7;1;0.712;0.083;1.782
Col_0;Milieu_3;Plate_2;C2_11;7.095;1.091;0.165;7.5;8;2;1.384;0.152;3.149
Col_0;Milieu_3;Plate_2;C2_12;3.687;1.106;0.165;7.5;8;2;1.384;0.061;0.938
Col_0;Milieu_3;Plate_2;C2_13;7.154;1.098;0.163;5.5;10;4;1.634;0.123;2.732
Col_0;Milieu_3;Plate_2;C2_14;4.692;1.121;0.163;5.5;10;4;1.634;0.079;1.748
Col_0;Milieu_3;Plate_2;C2_15;2.516;1.092;0.163;5.5;10;4;1.634;0.023;0.365
Col_0;Milieu_3;Plate_2;C2_16;4.638;1.123;0.163;5.5;10;4;1.634;0.116;2.591
Col_0;Milieu_3;Plate_2;C2_17;3.849;1.068;0.114;5;11;1;0.881;0.062;1.201
Col_0;Milieu_3;Plate_2;C2_18;0.725;1.045;0.018;1;13;1;0.000;0.013;0.186
Col_0;Milieu_3;Plate_2;C2_19;3.384;1.099;0.155;4;12;1;1.125;0.057;1.108
Col_0;Milieu_3;Plate_2;C2_20;0.894;1.057;0.019;0;14;1;0.000;0.018;0.263
Col_0;Milieu_3;Plate_2;C2_21;0.209;1.077;0.004;0;15;1;0.000;0.007;0.116
Col_0;Milieu_4;Plate_1;D1_1;8.186;1.152;0.304;12;1;3;2.297;0.218;4.506
Col_0;Milieu_4;Plate_1;D1_2;4.757;1.117;0.274;10;2;1;0.780;0.275;5.361
Col_0;Milieu_4;Plate_1;D1_3;5.477;1.119;0.304;12;1;3;2.297;0.094;1.841
Col_0;Milieu_4;Plate_1;D1_4;8.22;1.302;0.304;12;1;3;2.297;0.178;3.327
Col_0;Milieu_4;Plate_1;D1_5;8.288;1.172;0.274;14.5;3;2;1.799;0.323;6.845
