A1_1;Col_0;1;5;Milieu_1
A1_2;Col_0;2;1;Milieu_1
A1_3;Col_0;1;5;Milieu_1
A1_4;Col_0;4;1;Milieu_1
A1_5;Col_0;3;11;Milieu_1
A1_6;Col_0;3;11;Milieu_1
A1_7;Col_0;3;11;Milieu_1
A1_8;Col_0;3;11;Milieu_1
A1_9;Col_0;3;11;Milieu_1
A1_10;Col_0;6;1;Milieu_1
A1_11;Col_0;3;11;Milieu_1
A1_12;Col_0;3;11;Milieu_1
A1_13;Col_0;3;11;Milieu_1
A1_14;Col_0;3;11;Milieu_1
A1_15;Col_0;3;11;Milieu_1
A1_16;Col_0;3;11;Milieu_1
A1_17;Col_0;5;1;Milieu_1
A1_18;Col_0;1;5;Milieu_1
A1_19;Col_0;1;5;Milieu_1
A1_20;Col_0;1;5;Milieu_1
A2_1;Col_0;3;1;Milieu_1
A2_2;Col_0;1;2;Milieu_1
A2_3;Col_0;5;1;Milieu_1
A2_4;Col_0;6;5;Milieu_1
A2_5;Col_0;6;5;Milieu_1
A2_6;Col_0;8;1;Milieu_1
A2_7;Col_0;9;4;Milieu_1
A2_8;Col_0;9;4;Milieu_1
A2_9;Col_0;11;1;Milieu_1
A2_10;Col_0;9;4;Milieu_1
A2_11;Col_0;9;4;Milieu_1
A2_12;Col_0;10;1;Milieu_1
A2_13;Col_0;6;5;Milieu_1
A2_14;Col_0;6;5;Milieu_1
A2_15;Col_0;6;5;Milieu_1
A2_16;Col_0;4;1;Milieu_1
A2_17;Col_0;1;2;Milieu_1
A2_18;Col_0;2;1;Milieu_1
A2_19;Col_0;7;2;Milieu_1
A2_20;Col_0;7;2;Milieu_1
B1_1;Col_0;1;3;Milieu_2
B1_2;Col_0;1;3;Milieu_2
B1_3;Col_0;2;4;Milieu_2
B1_4;Col_0;2;4;Milieu_2
B1_5;Col_0;4;1;Milieu_2
B1_6;Col_0;5;1;Milieu_2
B1_7;Col_0;3;6;Milieu_2
B1_8;Col_0;3;6;Milieu_2
B1_9;Col_0;7;1;Milieu_2
B1_10;Col_0;6;1;Milieu_2
B1_11;Col_0;8;1;Milieu_2
B1_12;Col_0;3;6;Milieu_2
B1_13;Col_0;3;6;Milieu_2
B1_14;Col_0;3;6;Milieu_2
B1_15;Col_0;3;6;Milieu_2
B1_16;Col_0;2;4;Milieu_2
B1_17;Col_0;2;4;Milieu_2
B1_18;Col_0;1;3;Milieu_2
B2_1;Col_0;1;7;Milieu_2
B2_2;Col_0;1;7;Milieu_2
B2_3;Col_0;1;7;Milieu_2
B2_4;Col_0;2;1;Milieu_2
B2_5;Col_0;3;8;Milieu_2
B2_6;Col_0;3;8;Milieu_2
B2_7;Col_0;3;8;Milieu_2
B2_8;Col_0;3;8;Milieu_2
B2_9;Col_0;3;8;Milieu_2
B2_10;Col_0;5;1;Milieu_2
B2_11;Col_0;3;8;Milieu_2
B2_12;Col_0;3;8;Milieu_2
B2_13;Col_0;3;8;Milieu_2
B2_14;Col_0;4;1;Milieu_2
B2_15;Col_0;1;7;Milieu_2
B2_16;Col_0;1;7;Milieu_2
B2_17;Col_0;1;7;Milieu_2
B2_18;Col_0;1;7;Milieu_2
C1_1;Col_0;1;1;Milieu_3
C1_2;Col_0;3;1;Milieu_3
C1_3;Col_0;5;1;Milieu_3
C1_4;Col_0;2;1;Milieu_3
C1_5;Col_0;4;1;Milieu_3
C1_6;Col_0;6;1;Milieu_3
C1_7;Col_0;7;3;Milieu_3
C1_8;Col_0;7;3;Milieu_3
C1_9;Col_0;7;3;Milieu_3
C1_10;Col_0;8;1;Milieu_3
C1_11;Col_0;10;1;Milieu_3
C1_12;Col_0;11;1;Milieu_3
C1_13;Col_0;9;2;Milieu_3
C1_14;Col_0;9;2;Milieu_3
C1_15;Col_0;12;1;Milieu_3
C1_16;Col_0;15;1;Milieu_3
C1_17;Col_0;14;1;Milieu_3
C1_18;Col_0;16;1;Milieu_3
C1_19;Col_0;13;1;Milieu_3
C2_1;Col_0;1;1;Milieu_3
C2_2;Col_0;3;2;Milieu_3
C2_3;Col_0;2;1;Milieu_3
C2_4;Col_0;3;2;Milieu_3
C2_5;Col_0;5;2;Milieu_3
C2_6;Col_0;6;1;Milieu_3
C2_7;Col_0;5;2;Milieu_3
C2_8;Col_0;4;1;Milieu_3
C2_9;Col_0;9;1;Milieu_3
C2_10;Col_0;7;1;Milieu_3
C2_11;Col_0;8;2;Milieu_3
C2_12;Col_0;8;2;Milieu_3
C2_13;Col_0;10;4;Milieu_3
C2_14;Col_0;10;4;Milieu_3
C2_15;Col_0;10;4;Milieu_3
C2_16;Col_0;10;4;Milieu_3
C2_17;Col_0;11;1;Milieu_3
C2_18;Col_0;13;1;Milieu_3
C2_19;Col_0;12;1;Milieu_3
C2_20;Col_0;14;1;Milieu_3
C2_21;Col_0;15;1;Milieu_3
D1_1;Col_0;1;3;Milieu_4
D1_2;Col_0;2;1;Milieu_4
D1_3;Col_0;1;3;Milieu_4
D1_4;Col_0;1;3;Milieu_4
D1_5;Col_0;3;2;Milieu_4
D1_6;Col_0;3;2;Milieu_4
D1_7;Col_0;4;10;Milieu_4
D1_8;Col_0;4;10;Milieu_4
D1_9;Col_0;4;10;Milieu_4
D1_10;Col_0;4;10;Milieu_4
D1_11;Col_0;4;10;Milieu_4
D1_12;Col_0;4;10;Milieu_4
D1_13;Col_0;4;10;Milieu_4
D1_14;Col_0;4;10;Milieu_4
D1_15;Col_0;4;10;Milieu_4
D1_16;Col_0;4;10;Milieu_4
D2_1;Col_0;1;5;Milieu_4
D2_2;Col_0;2;1;Milieu_4
D2_3;Col_0;1;5;Milieu_4
D2_4;Col_0;1;5;Milieu_4
D2_5;Col_0;1;5;Milieu_4
D2_6;Col_0;1;5;Milieu_4
D2_7;Col_0;3;10;Milieu_4
