Class ID;Definitions;decreased_in_magnitude_relative_to;functionally related to
http://purl.obolibrary.org/obo/PATO_0001788;A density which is higher relative to the normal or average.;;
http://purl.obolibrary.org/obo/PATO_0001898;A circumference which is relatively high.;;
http://purl.obolibrary.org/obo/PATO_0001664;A solubility which is relatively low.;;
http://purl.obolibrary.org/obo/PATO_0002022;A concave 3-D shape quality inhering in a bearer by virtue of the bearer's resembling a minute projection (villus).;;
http://purl.obolibrary.org/obo/PATO_0001330;A flavor quality inhering in a bearer by virtue of the bearer's lacking flavour.;;
http://purl.obolibrary.org/obo/PATO_0002468;A structure quality inhering in a bearer by virtue of the bearer's being capable of swelling or stretching.;;
http://purl.obolibrary.org/obo/PATO_0002485;A shape quality inhering in a bearer by virtue of the bearer's possessing two sides that are at the same continuous distance relative to each other.;;
http://purl.obolibrary.org/obo/PATO_0005011;A positional quality inhering in a bearer by virtue of the bearer possessing an uninterrupted or unbroken connection or spatial distribution relative to the position of another entity.;;
http://purl.obolibrary.org/obo/PATO_0045054;A length quality which is relatively normal or average;;
http://purl.obolibrary.org/obo/PATO_0045071;A tonicity which is relatively normal or average;;
http://purl.obolibrary.org/obo/GO_0098797;Any protein complex that is part of the plasma membrane.;;
http://purl.obolibrary.org/obo/PATO_0002261;A spatial quality inhering in a bearer by virtue of the bearer's location within another entity.;;
http://purl.obolibrary.org/obo/PATO_0000624;A spatial quality inhering in a bearer by virtue of the bearer's becoming joined together with an additional entity.;;
http://purl.obolibrary.org/obo/PATO_0000404;A shape quality inhering in a bearer by virtue of the bearer's being curled or wound (especially in concentric rings or spirals).;;
http://purl.obolibrary.org/obo/PATO_0001462;A quality inhering in a cell's plasma membrane by virtue of the electrical potential difference across it.;;
http://purl.obolibrary.org/obo/PATO_0001445;A wholeness quality inhering in a bearer by virtue of the bearer's being taken apart into its constituent parts.;;
http://purl.obolibrary.org/obo/PATO_0002486;A quality inhering in a process by virtue of that process having two or more organisms as participants.;;
http://purl.obolibrary.org/obo/PATO_0015024;An increase in porosity.;;
http://purl.obolibrary.org/obo/PATO_0045036;A permeability which is relatively normal or average.;;
http://purl.obolibrary.org/obo/PATO_0015007;A quality inhering in a bearer by virtue of the degree to which the bearers stands out or projects beyond a surface or line.;;
http://purl.obolibrary.org/obo/PATO_0045053;A height which is relatively normal or average;;
