A1_1;1;5;Plate_1;Col_0;Milieu_1
A1_2;2;1;Plate_1;Col_0;Milieu_1
A1_3;1;5;Plate_1;Col_0;Milieu_1
A1_4;4;1;Plate_1;Col_0;Milieu_1
A1_5;3;11;Plate_1;Col_0;Milieu_1
A1_6;3;11;Plate_1;Col_0;Milieu_1
A1_7;3;11;Plate_1;Col_0;Milieu_1
A1_8;3;11;Plate_1;Col_0;Milieu_1
A1_9;3;11;Plate_1;Col_0;Milieu_1
A1_10;6;1;Plate_1;Col_0;Milieu_1
A1_11;3;11;Plate_1;Col_0;Milieu_1
A1_12;3;11;Plate_1;Col_0;Milieu_1
A1_13;3;11;Plate_1;Col_0;Milieu_1
A1_14;3;11;Plate_1;Col_0;Milieu_1
A1_15;3;11;Plate_1;Col_0;Milieu_1
A1_16;3;11;Plate_1;Col_0;Milieu_1
A1_17;5;1;Plate_1;Col_0;Milieu_1
A1_18;1;5;Plate_1;Col_0;Milieu_1
A1_19;1;5;Plate_1;Col_0;Milieu_1
A1_20;1;5;Plate_1;Col_0;Milieu_1
A2_1;3;1;Plate_2;Col_0;Milieu_1
A2_2;1;2;Plate_2;Col_0;Milieu_1
A2_3;5;1;Plate_2;Col_0;Milieu_1
A2_4;6;5;Plate_2;Col_0;Milieu_1
A2_5;6;5;Plate_2;Col_0;Milieu_1
A2_6;8;1;Plate_2;Col_0;Milieu_1
A2_7;9;4;Plate_2;Col_0;Milieu_1
A2_8;9;4;Plate_2;Col_0;Milieu_1
A2_9;11;1;Plate_2;Col_0;Milieu_1
A2_10;9;4;Plate_2;Col_0;Milieu_1
A2_11;9;4;Plate_2;Col_0;Milieu_1
A2_12;10;1;Plate_2;Col_0;Milieu_1
A2_13;6;5;Plate_2;Col_0;Milieu_1
A2_14;6;5;Plate_2;Col_0;Milieu_1
A2_15;6;5;Plate_2;Col_0;Milieu_1
A2_16;4;1;Plate_2;Col_0;Milieu_1
A2_17;1;2;Plate_2;Col_0;Milieu_1
A2_18;2;1;Plate_2;Col_0;Milieu_1
A2_19;7;2;Plate_2;Col_0;Milieu_1
A2_20;7;2;Plate_2;Col_0;Milieu_1
B1_1;1;3;Plate_1;Col_0;Milieu_2
B1_2;1;3;Plate_1;Col_0;Milieu_2
B1_3;2;4;Plate_1;Col_0;Milieu_2
B1_4;2;4;Plate_1;Col_0;Milieu_2
B1_5;4;1;Plate_1;Col_0;Milieu_2
B1_6;5;1;Plate_1;Col_0;Milieu_2
B1_7;3;6;Plate_1;Col_0;Milieu_2
B1_8;3;6;Plate_1;Col_0;Milieu_2
B1_9;7;1;Plate_1;Col_0;Milieu_2
B1_10;6;1;Plate_1;Col_0;Milieu_2
B1_11;8;1;Plate_1;Col_0;Milieu_2
B1_12;3;6;Plate_1;Col_0;Milieu_2
B1_13;3;6;Plate_1;Col_0;Milieu_2
B1_14;3;6;Plate_1;Col_0;Milieu_2
B1_15;3;6;Plate_1;Col_0;Milieu_2
B1_16;2;4;Plate_1;Col_0;Milieu_2
B1_17;2;4;Plate_1;Col_0;Milieu_2
B1_18;1;3;Plate_1;Col_0;Milieu_2
B2_1;1;7;Plate_2;Col_0;Milieu_2
B2_2;1;7;Plate_2;Col_0;Milieu_2
B2_3;1;7;Plate_2;Col_0;Milieu_2
B2_4;2;1;Plate_2;Col_0;Milieu_2
B2_5;3;8;Plate_2;Col_0;Milieu_2
B2_6;3;8;Plate_2;Col_0;Milieu_2
B2_7;3;8;Plate_2;Col_0;Milieu_2
B2_8;3;8;Plate_2;Col_0;Milieu_2
